file,question_id,rating,rater_0.csv,rater_1.csv,rater_2.csv,model,majority,maj_agreement_with_model,worst_case
1.15._Tunel_v_Praze_pod_Letnou_se_může_začít_stavět.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.15._Tunel_v_Praze_pod_Letnou_se_může_začít_stavět.txt,odstavce,single_choice,4,4,4,4,4,True,--WORST-CASE
1.15._Tunel_v_Praze_pod_Letnou_se_může_začít_stavět.txt,politicka_zprava,single_choice,Ne,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.16._Premiér_otevřel_v_Kábulu_českou_polní_nemocnici.txt,kriterium,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.17._ČSSD_kvůli_Kubicemu_dává_trestní_oznámení.txt,kriterium,single_choice,krátký,krátký,vyhovující,vyhovující,krátký,False,--WORST-CASE
1.18._Do_zoo_se_„slétlo“_nejvíc_Slavíků.txt,kriterium,single_choice,krátký,krátký,vyhovující,vyhovující,krátký,False,--WORST-CASE
1.19._Na_všechny_kamery_musí_být_povolení.txt,kriterium,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,vyhovující,nezpravodajský,False,--WORST-CASE
1.2._Kamery_viděly_do_soukromí._Soud_to_potrestal.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.2._Kamery_viděly_do_soukromí._Soud_to_potrestal.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.2._Kamery_viděly_do_soukromí._Soud_to_potrestal.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.2._Kamery_viděly_do_soukromí._Soud_to_potrestal.txt,odstavce,single_choice,9,9,9,6,9,False,--WORST-CASE
1.2._Kamery_viděly_do_soukromí._Soud_to_potrestal.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.20._Heslem_Nic_než_národ_„bojují“_za_životní_prostředí.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.20._Heslem_Nic_než_národ_„bojují“_za_životní_prostředí.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.20._Heslem_Nic_než_národ_„bojují“_za_životní_prostředí.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.20._Heslem_Nic_než_národ_„bojují“_za_životní_prostředí.txt,odstavce,single_choice,8,8,8,4,8,False,--WORST-CASE
1.20._Heslem_Nic_než_národ_„bojují“_za_životní_prostředí.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.21._Jak_„naučit“_děti_číst.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.21._Jak_„naučit“_děti_číst.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,nezpravodajský,vyhovující,False,--WORST-CASE
1.21._Jak_„naučit“_děti_číst.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.21._Jak_„naučit“_děti_číst.txt,odstavce,single_choice,8,8,8,8,8,True,--WORST-CASE
1.21._Jak_„naučit“_děti_číst.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.22._Co_říkáte_zkouškám?.txt,kriterium,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,vyhovující,nezpravodajský,False,--WORST-CASE
1.23._Velikonoce_budou_slunečné.txt,kriterium,single_choice,nezpravodajský,vyhovující,vyhovující,nezpravodajský,vyhovující,False,--WORST-CASE
1.24._Schwarzenberg_k_odsunu:_bylo_to_vyhnání.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.24._Schwarzenberg_k_odsunu:_bylo_to_vyhnání.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.24._Schwarzenberg_k_odsunu:_bylo_to_vyhnání.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.24._Schwarzenberg_k_odsunu:_bylo_to_vyhnání.txt,odborny_zdroj,single_choice,Ne,Ne,Ano,Ne,Ne,True,--WORST-CASE
1.24._Schwarzenberg_k_odsunu:_bylo_to_vyhnání.txt,odstavce,single_choice,15,15,15,2,15,False,--WORST-CASE
1.24._Schwarzenberg_k_odsunu:_bylo_to_vyhnání.txt,politicka_zprava,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.24._Schwarzenberg_k_odsunu:_bylo_to_vyhnání.txt,vyvazenost,single_choice,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,True,--WORST-CASE
1.25._Zelení_už_mají_Čunka_dost.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.25._Zelení_už_mají_Čunka_dost.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.25._Zelení_už_mají_Čunka_dost.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.25._Zelení_už_mají_Čunka_dost.txt,odborny_zdroj,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.25._Zelení_už_mají_Čunka_dost.txt,odstavce,single_choice,22,21,22,4,22,False,--WORST-CASE
1.25._Zelení_už_mají_Čunka_dost.txt,politicka_zprava,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.25._Zelení_už_mají_Čunka_dost.txt,vyvazenost,single_choice,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,True,--WORST-CASE
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,odborny_zdroj,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,odstavce,single_choice,10,10,10,11,10,False,--WORST-CASE
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,politicka_zprava,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,vyvazenost,single_choice,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,True,--WORST-CASE
1.27._V_obcích_uspěli_opět_nezávislí.txt,kriterium,single_choice,nezpravodajský,vyhovující,vyhovující,Nezpravodajský,vyhovující,False,--WORST-CASE
1.28._ODS_podpořila_Klause_na_Hrad.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.28._ODS_podpořila_Klause_na_Hrad.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.28._ODS_podpořila_Klause_na_Hrad.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.28._ODS_podpořila_Klause_na_Hrad.txt,odborny_zdroj,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.28._ODS_podpořila_Klause_na_Hrad.txt,odstavce,single_choice,15,15,15,6,15,False,--WORST-CASE
1.28._ODS_podpořila_Klause_na_Hrad.txt,politicka_zprava,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.28._ODS_podpořila_Klause_na_Hrad.txt,vyvazenost,single_choice,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,True,--WORST-CASE
1.29._Dnes_je_poslední_den_na_přiznání_a_zaplacení_daně.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.29._Dnes_je_poslední_den_na_přiznání_a_zaplacení_daně.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.29._Dnes_je_poslední_den_na_přiznání_a_zaplacení_daně.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.29._Dnes_je_poslední_den_na_přiznání_a_zaplacení_daně.txt,odstavce,single_choice,5,5,5,4,5,False,--WORST-CASE
1.29._Dnes_je_poslední_den_na_přiznání_a_zaplacení_daně.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.3._Test_MF_DNES:_Přijímačky_jsou_těžké_i_pro_dospělé.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.3._Test_MF_DNES:_Přijímačky_jsou_těžké_i_pro_dospělé.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.3._Test_MF_DNES:_Přijímačky_jsou_těžké_i_pro_dospělé.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.3._Test_MF_DNES:_Přijímačky_jsou_těžké_i_pro_dospělé.txt,odstavce,single_choice,6,6,6,3,6,False,--WORST-CASE
1.3._Test_MF_DNES:_Přijímačky_jsou_těžké_i_pro_dospělé.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.30._Spadl_ze_skály.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.30._Spadl_ze_skály.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.30._Spadl_ze_skály.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.30._Spadl_ze_skály.txt,odstavce,single_choice,2,2,2,2,2,True,--WORST-CASE
1.30._Spadl_ze_skály.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.31._Akcie_ČEZ_jsou_opět_nad_940_Kč.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.31._Akcie_ČEZ_jsou_opět_nad_940_Kč.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,nezpravodajský,vyhovující,False,--WORST-CASE
1.31._Akcie_ČEZ_jsou_opět_nad_940_Kč.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.31._Akcie_ČEZ_jsou_opět_nad_940_Kč.txt,odstavce,single_choice,6,6,5,1,6,False,--WORST-CASE
1.31._Akcie_ČEZ_jsou_opět_nad_940_Kč.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.32._Mladistvý_hrozil_mačetou.txt,kriterium,single_choice,nezpravodajský,vyhovující,vyhovující,nezpravodajský,vyhovující,False,--WORST-CASE
1.33._Viník_nehody_ujel.txt,kriterium,single_choice,krátký,krátký,krátký,vyhovující,krátký,False,--WORST-CASE
1.34._Policejní_prezident_by_mohl_mít_časově_omezené_funkční_období.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.34._Policejní_prezident_by_mohl_mít_časově_omezené_funkční_období.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.34._Policejní_prezident_by_mohl_mít_časově_omezené_funkční_období.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.34._Policejní_prezident_by_mohl_mít_časově_omezené_funkční_období.txt,odborny_zdroj,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.34._Policejní_prezident_by_mohl_mít_časově_omezené_funkční_období.txt,odstavce,single_choice,7,7,7,8,7,False,--WORST-CASE
1.34._Policejní_prezident_by_mohl_mít_časově_omezené_funkční_období.txt,politicka_zprava,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.34._Policejní_prezident_by_mohl_mít_časově_omezené_funkční_období.txt,vyvazenost,single_choice,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,True,--WORST-CASE
1.35._ČSSD_viní_Langra_z_ovlivňování_kauzy_Kubice.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.35._ČSSD_viní_Langra_z_ovlivňování_kauzy_Kubice.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.35._ČSSD_viní_Langra_z_ovlivňování_kauzy_Kubice.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.35._ČSSD_viní_Langra_z_ovlivňování_kauzy_Kubice.txt,odborny_zdroj,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.35._ČSSD_viní_Langra_z_ovlivňování_kauzy_Kubice.txt,odstavce,single_choice,6,6,6,4,6,False,--WORST-CASE
1.35._ČSSD_viní_Langra_z_ovlivňování_kauzy_Kubice.txt,politicka_zprava,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.35._ČSSD_viní_Langra_z_ovlivňování_kauzy_Kubice.txt,vyvazenost,single_choice,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,True,--WORST-CASE
1.36._Transparency_Int._prý_nevrátila_část_půjčky.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.36._Transparency_Int._prý_nevrátila_část_půjčky.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.36._Transparency_Int._prý_nevrátila_část_půjčky.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.36._Transparency_Int._prý_nevrátila_část_půjčky.txt,odstavce,single_choice,2,2,2,2,2,True,--WORST-CASE
1.36._Transparency_Int._prý_nevrátila_část_půjčky.txt,politicka_zprava,single_choice,Ne,Ne,Ano,Ano,Ne,False,--WORST-CASE
1.37._Když_poslanci_neumějí_cizí_jazyky_stojí_to_milióny_korun.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.37._Když_poslanci_neumějí_cizí_jazyky_stojí_to_milióny_korun.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.37._Když_poslanci_neumějí_cizí_jazyky_stojí_to_milióny_korun.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.37._Když_poslanci_neumějí_cizí_jazyky_stojí_to_milióny_korun.txt,odstavce,single_choice,24,24,24,15,24,False,--WORST-CASE
1.37._Když_poslanci_neumějí_cizí_jazyky_stojí_to_milióny_korun.txt,politicka_zprava,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.38._Kurzy_ČNB_od_30._3._2007.txt,kriterium,single_choice,krátký,nezpravodajský,krátký,nezpravodajský,krátký,False,--WORST-CASE
1.39._Rodiče_osmiměsíční_dívky_čelí_obvinění_z_týrání.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.39._Rodiče_osmiměsíční_dívky_čelí_obvinění_z_týrání.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.39._Rodiče_osmiměsíční_dívky_čelí_obvinění_z_týrání.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.39._Rodiče_osmiměsíční_dívky_čelí_obvinění_z_týrání.txt,odstavce,single_choice,5,5,5,4,5,False,--WORST-CASE
1.39._Rodiče_osmiměsíční_dívky_čelí_obvinění_z_týrání.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.4._Sledují_každý_náš_krok.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.4._Sledují_každý_náš_krok.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.4._Sledují_každý_náš_krok.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.4._Sledují_každý_náš_krok.txt,odstavce,single_choice,9,9,9,8,9,False,--WORST-CASE
1.4._Sledují_každý_náš_krok.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.40._Mladí_farmáři_mají_vydělat.txt,kriterium,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.41._Vodáci_odemkli_Lužnici.txt,kriterium,single_choice,krátký,krátký,krátký,nezpravodajský,krátký,False,--WORST-CASE
1.42._Dětské_oběti_vypovídají_ve_speciální_místnosti.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.42._Dětské_oběti_vypovídají_ve_speciální_místnosti.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.42._Dětské_oběti_vypovídají_ve_speciální_místnosti.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.42._Dětské_oběti_vypovídají_ve_speciální_místnosti.txt,odstavce,single_choice,8,8,8,3,8,False,--WORST-CASE
1.42._Dětské_oběti_vypovídají_ve_speciální_místnosti.txt,politicka_zprava,single_choice,Ne,Ne,Ano,Ano,Ne,False,--WORST-CASE
1.43._Hrady_a_zámky_otevřely_brány_návštěvníkům.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.43._Hrady_a_zámky_otevřely_brány_návštěvníkům.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.43._Hrady_a_zámky_otevřely_brány_návštěvníkům.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.43._Hrady_a_zámky_otevřely_brány_návštěvníkům.txt,odstavce,single_choice,8,9,8,8,8,True,--WORST-CASE
1.43._Hrady_a_zámky_otevřely_brány_návštěvníkům.txt,politicka_zprava,single_choice,Ano,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.44._ČNB_v_loňském_roce_skončila_ve_ztrátě_564_miliardy_korun.txt,kriterium,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.45._Špatná_strava_a_málo_pohybu_zvyšuje_riziko_infarktu_33krát.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.45._Špatná_strava_a_málo_pohybu_zvyšuje_riziko_infarktu_33krát.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.45._Špatná_strava_a_málo_pohybu_zvyšuje_riziko_infarktu_33krát.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.45._Špatná_strava_a_málo_pohybu_zvyšuje_riziko_infarktu_33krát.txt,odstavce,single_choice,11,11,11,8,11,False,--WORST-CASE
1.45._Špatná_strava_a_málo_pohybu_zvyšuje_riziko_infarktu_33krát.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.46._Co_říkají_ke_spolupráci_ODS_a_KSČM.txt,kriterium,single_choice,nezpravodajský,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.47._Opilci_napadali_policisty.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.47._Opilci_napadali_policisty.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.47._Opilci_napadali_policisty.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.47._Opilci_napadali_policisty.txt,odstavce,single_choice,5,5,5,4,5,False,--WORST-CASE
1.47._Opilci_napadali_policisty.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.48._Dceru_matce_vrátil_až_za_policejní_asistence.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.48._Dceru_matce_vrátil_až_za_policejní_asistence.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.48._Dceru_matce_vrátil_až_za_policejní_asistence.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.48._Dceru_matce_vrátil_až_za_policejní_asistence.txt,odstavce,single_choice,3,3,3,3,3,True,--WORST-CASE
1.49._Pacienti_mají_znát_vše_důležité.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.49._Pacienti_mají_znát_vše_důležité.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.49._Pacienti_mají_znát_vše_důležité.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.49._Pacienti_mají_znát_vše_důležité.txt,odstavce,single_choice,6,6,6,3,6,False,--WORST-CASE
1.49._Pacienti_mají_znát_vše_důležité.txt,politicka_zprava,single_choice,Ne,Ano,Ano,Ne,Ano,False,--WORST-CASE
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,odborny_zdroj,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,odstavce,single_choice,7,7,7,2,7,False,--WORST-CASE
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,politicka_zprava,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,vyvazenost,single_choice,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,True,--WORST-CASE
1.50._Najel_na_strážníka.txt,kriterium,single_choice,krátký,krátký,krátký,vyhovující,krátký,False,--WORST-CASE
1.51._Sklepy_se_změnily_v_turistické_korzo.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
