Zpracovatelské rutiny,,Hodnoty,Proměnná,Definice,Příklady,,
Témata článku (multiple choice),Kód,"Pokud je dané téma v libovolné míře přítomné, zapište 1, pokud ne, zapište 0.","Témata prosím kódujte, pokud se bezprostředně vztahují k událostem vyvolaným útokem Hamásu ze 7. 10. 2023. Pokud se téma ve zprávě vztahuje primárně k historii (holokaust, založení Izraele, intifády, jom-kipurská válka), uvádějte pouze téma historie/kontextualizace. Pokud je téma vyjádřeno i jednou větou, kódujte je jako přítomné (vojenské operace izraele a teroristické akce Hamásu, dopad na izraelské/palestinské civilisty). Pro hierarchizaci témat, resp. volbu toho dominantního, je až následující kategorie (hlavní téma článku).",,,,
,,1 = ano,Vnitřní politické a občanské dění,"Zpráva informuje o politickém vývoji v Izraeli, v Gaze, na Západním břehu, o prohlášeních tamějích politiků, jejich návrzích na řešení konfliktu. (Izrael a Hamas spolu nekomunikují přímo, tj. i dohody o ceasefire a výměně rukojmích jsou někým jiným zprostředkovány - USA, Katarem etc., toto pak metinárodní politická reakce.) I vyjádření představitelů Hamasu mohou mít politický, ne vojenský charakter - hnutí Hamás v roce 2006 zvítězilo v palestinských parlamentních volbách a reprezentuje tedy pásmo Gazy politicky. Průzkumy veřejného mínění n. demonstrace přímo v Izraeli (proti Netanjahuovi, za osvobození rukojmích, proti trestání izraelských vojáků etc.) sem patří taky. vyjádření občanů. Střety osadníků a Palestinců, jejich neshody na checkpointech sem patří taky.","Netanjahu nabídl opozici, aby s ním utvořila vládu národní jednoty","„Jsme příliš humánní, Gazu je třeba vypálit.“ Poslanec za Likud si nebral servítky","Hamás navrhuje Izraeli třífázové příměří, které by vedlo k ukončení války"
,1,0 = ne,Mezinárodní politické reakce,"Zpráva informuje o mezinárodních reakcích na konflikt ze strany vrcholných politiků, mezinárodních organizací jako UN, o diplomatických iniciativách, jednáních, snahách o zprostředkování příměří.  Jde o vnější a institucionalizovanou reakci - pro reakce veřejnosti je definováno téma separátně.",Biden: Existuje reálná šance na prodloužení příměří,V Bruselu se scházejí ministři zahraničí NATO. Řešit budou Ukrajinu i Blízký východ,Blinken znovu navštíví Izrael
,11,,Vojenské operace Izraele a jeho spojenců,"Zpráva popisuje izraelské vojenské operace, jejich provedení, ale i plánování a taktizování. Zahrnujeme sem i vojenskou přítomnost spojenců Izraele (USA, státy EU, Kanada, Austrálie).","Izraelská armáda zasahuje v nemocnici Aš-Šifá. Uvedla, že narazila na výzbroj Hamásu","Izraelci v Gaze obsadili ministerstva, parlament i centrálu policie",Izraelská armáda zasahuje v uprchlickém táboře u Hebronu na Západním břehu
,,,Teroristické operace Hamasu a jeho spojenců,"Zpráva se soustředí na útoky palestinských frakcí jako Hamas, Hizballáh a dalších ozbrojených skupin, které jsou označeny jako teroristické (útoky Hútiů/Húsiů), případně  vojenskou podporu států na straně Palestiny (Irán).",Nový pozemní útok. Palestinští radikálové pronikli do oblasti Eškolu,Hamás nutil unesené dítě sledovat záznamy masakrů,Hamás zaútočil na humanitární koridor z Gazy
,12,,Dílčí konflikty a střety,"Zpráva informuje o dílčích konfliktech a nevraživostech, o izolovaných případech násilí, jako jsou útoky osadníků nebo střelba na kontrolních stanovištích. húsiové, antisemitismus ve světě, střety na demonstracích",Policista zastřelil dva izraelské turisty v Egyptě. Zemřel i jeden Egypťan,Na Západním břehu Jordánu byl zastřelen v autě izraelský armádní rezervista,Kvůli střelbě u hranic zuří v Libanonu lesní požáry
,,,Dopad na izraelské civilisty,"Zpráva popisuje dopady konfliktu na Iizraelské civilisty, soustředí se na oběti, provizorní přemístění přeživších, zoufalství a nejistotu příbuzných rukojmí zajatých Hamásem",Seniorka po propuštění Hamásem bojuje v nemocnici o život,"Jedna z propuštěných Izraelek potřebovala naléhavou péči, na říjnovém festivalu ji postřelili","Devítiletou dívku považoval otec týdny za mrtvou, po 50 dnech v zajetí mu padla do náručí"
,,,Dopad na palestinské civilisty,"Zpráva popisuje dopady konfliktu na palestinské civilisty, soustředí se na oběti, vysídlení, dění v uprchlických táborech.","Rakety zasáhly školu, kterou v Gaze provozuje OSN. Mrtvých má být podle Palestinců nejméně 50","Lidé pěšky opouštějí nemocnici Šifá, Izrael jim na to dal hodinu",Al-Arabíja: Hamás vymění stovku rukojmích za palestinské ženy a děti z izraelských věznic
,,,Humanitární pomoc,"Zpráva popisuje snahy o poskytování nebo blokování humanitární pomoci, věnuje se možnostem podpory civilistům zasažených konfliktem, které vznikly z iniciativ vlád, nevládních organizací a mezinárodních organizací.",Rafáh se znovu otevřel. Do Pásma Gazy proudí další pomoc,"Stop penězům Palestině, navrhuje Lipavský",Izrael opět pustil do Gazy pitnou vodu
,,,Globální reakce veřejnosti,"Zpráva informuje o demonstracích a jiných vyjádřeních podpory (otevřené dopisy, blokování produktů, online iniciativy) Izraele nebo Palestiny ve světě.",Desítky akademiků podepsaly výzvu proti rozšíření antisemitismu na českých VŠ,„Zastavte to.“ Drzost a síla islamistických protestů šokovaly Německo,Stovky lidí pochodují Prahou na podporu Palestinců
,,,Ekonomické důsledky,"Zpráva informuje o globálních ekonomických důsledcích konfliktu (vliv na ceny ropy, zpožďování a zdražování přepravy zboží kvůli situaci v Suezském průplavu, komplikace pro turismus atd.)",Benzin znovu zlevní pod 39 korun. Navzdory konfliktu v Izraeli,Cena plynu na burze kvůli Blízkému východu stále výrazně roste,Útoky v Rudém moři zdrží i prodraží dopravu
,,,Historie,"Zpráva informuje o historii palestinsko-izraelského konfliktu, o geopolitických aspektech konfliktu (vztah Západu a Blízkého východu jako post-kolonie, informace o etnických a náboženských střetech v oblasti). Jako kontextualizaci nekódujeme potenciální závěrečný odstavec ve smyslu ""Hamás dne 7. října 2023 zaútočil..."") - toto zohledňujeme v předchozích kategoriích (teroristické operace). Musí jít o odkaz na to, že celé aktuální dění (od 7. října on) není náhodným výbuchem esenciální nenávisti. Patří sem i zprávy informujícví o reformě soudnictví v Izraeli. která útoku ze 7. 10. časově předcházela, nebo i spekulativní připomínky - že teroristé zaútočili na výročí jomkipurské války.",Křišťálová noc před 85 lety rozpoutala protižidovské peklo,Izrael v Haagu odmítl obvinění z genocidy. A připomněl holokaust,
Hlavní téma článku (single),Kód,"Uveďte číslo tématu, které považujete za hlavní.","Z témat zaznačených v předchozím kroku vyberte to stěžejní. Podle modelu obracené pyramidy by hlavní téma mělo být obsaženo už v titulku a leadu, respektive v první polovině článku. ",,,,
,,1,Vnitřní politické dění,"Zpráva informuje o politickém vývoji v Izraeli, v Gaze, na Západním břehu, o prohlášeních tamějích politiků, jejich návrzích na řešení konfliktu nebo jejich reakcích na zahraniční diplomatické úsilí. Patří sem i zprávy o výměnách rukojmí. I vyjádření představitelů Hamasu mohou mít politický, ne vojenský charakter - hnutí Hamás v roce 2006 zvítězilo v palestinských parlamentních volbách a reprezentuje tedy pásmo Gazy politicky.",,,
,1,2,Mezinárodní politické reakce,"Zpráva informuje o mezinárodních reakcích na konflikt ze strany vrcholných politiků, mezinárodních organizací jako UN, o diplomatických iniciativách, jednáních, snahách o zprostředkování příměří.  Jde o vnější a institucionalizovanou reakci - pro reakce veřejnosti je definováno téma separátně.",,,
,11,3,Vojenské operace Izraele,"Zpráva popisuje izraelské vojenské operace, jejich provedení, ale i plánování a taktizování.",,,
,,4,Teroristické operace,"Zpráva se soustředí na útoky palestinských frakcí jako Hamas, Hizballáh a dalších ozbrojených skupin, které jsou označeny jako teroristické (útoky Hútiů/Húsiů).",,,
,12,5,Dílčí konflikty a střety,"Zpráva informuje o dílčích konfliktech a nevraživostech, o izolovaných případech násilí, jako jsou útoky osadníků nebo střelba na kontrolních stanovištích.",,,
,,6,Dopad na izraelské civilisty,"Zpráva popisuje dopady konfliktu na Iizraelské civilisty, soustředí se na oběti, provizorní přemístění přeživších, zoufalství a nejistotu příbuzných rukojmí zajatých Hamásem",,"Na festivalu měli Izraelci střelbu za hudební kulisu, v panice pak utíkali všemi směry",
,,7,Dopad na palestinské civilisty,"Zpráva popisuje dopady konfliktu na palestinské civilisty, soustředí se na oběti, vysídlení, dění v uprchlických táborech.",,,
,,8,Humanitární pomoc,"Zpráva popisuje snahy o poskytování nebo blokování humanitární pomoci, věnuje se možnostem podpory civilistům zasažených konfliktem, které vznikly z iniciativ vlád, nevládních organizací a mezinárodních organizací.",,,
,,9,Globální reakce veřejnosti,"Zpráva informuje o demonstracích a jiných vyjádřeních podpory (otevřené dopisy, blokování produktů, online iniciativy) Izraele nebo Palestiny ve světě.",,,
,,10,Ekonomické důsledky,"Zpráva informuje o globálních ekonomických důsledcích konfliktu (vliv na ceny ropy, zpožďování a zdražování přepravy zboží kvůli situaci v Suezském průplavu, komplikace pro turismus atd.)",,,
,,11,Historie/kontextualizace,"Zpráva informuje o historii palestinsko-izraelského konfliktu, o geopolitických aspektech konfliktu (vztah Západu a Blízkého východu jako post-kolonie, informace o etnických a náboženských střetech v oblasti).",,,
Mediální rámce (multiple),,"Pokud je daný rámec přítomný, zapište 1, pokud ne, zapište 0.","Mediální rámce jsou způsoby, jakými média prezentují a strukturovaně zpracovávají informace o událostech a tématech. Jsou to perspektivy, úhly pohledu, které ovlivňují, jak publikum interpretuje a chápe danou zprávu.",,,,
,,1 = ano,Rámec konfliktu,"Zpráva situaci zobrazuje jako napjatou, konfliktní, nespravedlivou, polarizovanou. Dané rozpory jsou implicitně nebo explicitně zobrazeny jako těžko řešitelné, resp. řešitelné především silou. Zpráva implicitně nebo explicitně rozvrhuje aktéry do ingroup a outgroup, kde zisk jedné ze stran znamená ztrátu pro druhou a naopak.",Tisíce aktivistů v Izraeli se připravují na poválečné osídlování Pásma Gazy,V Pásmu Gazy zemřelo v pondělí 21 izraelských vojáků. Většinu zabily exploze ve dvou budovách,Američané opět zaútočili na pozice Húsíů v Jemenu
,,0 = ne,Rámec budování míru,"Zpráva zvýrazňuje snahy o řešení konfliktu prostřednictvím diplomacie, jednání a iniciativ budování míru. Tento rámec zdůrazňuje konstruktivní kroky směrem k míru a povzbuzuje optimismus ohledně možných řešení. Palestince a Izraelce nestaví proti sobě jako inherentně nepřátelské strany, ale apeluje na lidskost obou.",Izrael a Hamás se dohodly na prodloužení příměří,Nenávist je možné porazit. Spolek Arabů a Židů vyzývá k zastavení nekonečné spirály násilí,"Hamás navrhuje Izraeli třífázové příměří, které by vedlo k ukončení války"
,,,Humanitární rámec,"Zpráva se soustředí na důsledky konfliktu pro běžný občanský život, zdůrazňuje civilní oběti, vysídlování a utrpení lidí na obou stranách. Tento rámec pomáhá vyvolat empatii, případně zdůrazňuje potřebu humanitární pomoci.",Příměří zajistí podstatné navýšení humanitární pomoci do Pásma Gazy,"V Pásmu Gazy přestala fungovat druhá největší nemocnice, poslední na jihu","Americký ministr zahraničí kritizoval Izrael, že nedokáže ochránit civilisty v Gaze"
,,,Historicko-kulturní rámec,"Zpráva zobrazuje situaci jako součást komplikovaného dlouhotvrajícího konfliktu, zdůrazňuje potřebnost znalosti historického kontextu, geopolitických faktorů či perspektiv zúčastněných aktérů pro pochopení současného stavu. Tento rámec pomáhá divákům rozvinout hlubší porozumění základních příčin a dynamiky konfliktu, přesahujících aktuální politické a ekonomické aspekty.",Temné měsíce po Mnichovu. Vyhánění Čechoslováků i útěky židovského obyvatelstva,"Húsíové odsoudili k smrti 13 lidí za to, že jsou homosexuálové",Rasistická zaměstnankyně BBC popírala holokaust a šířila antisemitismus nejhrubšího zrna
,,,Globální rámec,"Zpráva zdůrazňuje geopolitický rozměr konfliktu, jehož důležitost přesahuje bezprostředně zasažené aktéry (blízký Východ). Zohledňuje mezinárodní reakce na konflikt, a to jak politické (diplomatická prohlášení, protesty a výzev k akci ze strany globálního společenství), tak občanské (demonstrace na podporu Izraele nebo Palestiny, diskuze na akademické půdě).","Nejen Izrael. Vzplanout může celý Blízký východ, obává se EU",Biden rozhodl o ochraně Palestinců v USA před deportací kvůli podmínkám v Gaze,Irsko i přes skandál zaměstnanců UNRWA věnuje úřadu přes půl miliardy
,,,Lokální rámec,"Zpráva zobrazuje události jako zasahující bezprostředně zúčastněné (blízký Východ, tj některou nebo některé ze zemí Bahrajn, Egypt, Irák, Írán, Izrael, Jordánsko, Katar, Kuvajt, Libanon, Omán, Jemen, Saúdská Arábie, Sýrie, Turecko, Spojené arabské emiráty), obsahuje výpovědi, komentáře, deklarace svědectví místních lidí, politiků, organizací.",Policista zastřelil dva izraelské turisty v Egyptě. Zemřel i jeden Egypťan,Teror na zastávce v Izraeli: dva mrtví a čtyři zranění,"Ušetřete Palestince katastrofy a vraťte Izraeli rukojmí, vyzval Abbás teroristy z Hamásu"
Mluvčí,,"Pokud je daný mluvčí přítomný, zapište 1, pokud ne, zapište 0. ","Mluvčími jsou myšleni aktéři, kteří jsou ve zprávě citováni nebo parafrázováni - ti, kteří mluví, ne ti, o kterých se mluví. Jako mluvčího lze vnímat i instituce, u kterých není specifikován konkrétní aktér (třeba ""ministerstvo vydalo prohlášení"", ""think tank poukázal na riziko""). Pokud je nějaký aktér zařaditelný do více kategorií, použijte první nominaci (""bývalý diplomat v Izraeli"", ""šéf policistů"", ""akademik"") a podle té ho zařaďte, zvolte pro něj tedy pouze jednu kategorii.",,,,
typ mluvčích (multiple),,1 = ano,Političtí představitelé Izraele,"Vládní i opoziční izraelští politici, diplomaté Izraele ve světě.",,,
,,0 = ne,Političtí představitelé Palestiny,"Političtí představitelé Palestinské samosprávy, ale i Hamasu, pokud jsou citováni v souvislosti s politickými rozhodnutími nebo vyjednáváními. Dále velvyslanci či diplomatičtí představitelé Palestiny.",,,
,,,Politici z blízkovýchodních zemí,"Politici z jiných arabských nebo blízkovýchodních zemí (Bahrajn, Egypt, Irák, Írán, Izrael, Jordánsko, Katar, Kuvajt, Libanon, Omán, Jemen, Saúdská Arábie, Sýrie, Turecko a Spojené arabské emiráty).",,,
,,,Politici ze ostatních světových zemí,"Např. USA, politici členských států EU nebo zastupující instituce EU, Rusko, Čina...",,,
,,,Představitelé mezinárodních a neziskových organizací,"Například UN, UNRWA, Lékaři bez hranic, atp.",,,
,,,Vojenští představitelé Izraele,"Vojenští velitelé, vojáci nebo mluvčí z Izraelských obranných sil (IDF), zástupci izraelských bezpečnostních agentur, nebo zpravodajských služeb (Mosad).",,,
,,,Členové teroristických skupin,"Vůdci i řadoví členové militantních nebo teroristických skupin působících v regionu, jako jsou Hamas, Islámský džihád nebo Hizballáh. Pokud je člen Hamasu citován v souvislosti s násilnými akcemi, raketovými útoky nebo jinými teroristickými aktivitami, zařaďte jej do této kategorie.",,,
,,,Nezávislí experti a analytici,"Odborníci, akademici, analytici nebo komentátoři specializující se na blízkovýchodní záležitosti, řešení konfliktu, mezinárodní vztahy nebo související oblasti, poskytující porozumění a analýzu konfliktu. Pokud je aktér velvyslanec/diplomat, zařaďte jej mezi politické představitele příslušné země.",,,
,,,Média a novináři,"V textu jsou citovány informace, komentáře, analýzy převzaté z jiných médií (např. ""podle New York Times...), k nimž není přiřazen žádný jiný mluvčí (může jít o investigativu citovaného média, informace poskytnuté mu anonymně atd.)",,,
,,,Očití svědci a civilisté z Izraele,"Izraelští civiliní obyvatelé zasaženi konfliktem, poskytující svědectví, kmentář, pohled na události na místě. Běžní Izraelci - přeživší, příbuzní obětí ze 7. 10., ale i Izraelci demonstrující proti Netanjahuovi.",,,
,,,Očití svědci a civilisté z Palestiny,"Palestinští civiliní obyvatelé postižení konfliktem, poskytující svědectví, komentář, pohled na události na místě - běžní Palestinci",,,
