file,rating,coding FSS - Copy of vyhodnocení Jana.csv,coding FSS - Copy of vyhodnocení Robin.csv,coding FSS - Copy of vyhodnocení Veronica.csv,majority,worst_case
2023-10-22T07-25-00_2023WN295017.txt,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,,Globální reakce veřejnosti,--WORST-CASE
2023-10-22T07-25-00_2023WN295038.txt,single_choice,Vojenské operace Izraele,Dílčí konflikty a střety,,Dílčí konflikty a střety,--WORST-CASE
2023-10-23T09-18-00_2023WN296031.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-10-23T12-37-00_2023WN296192.txt,single_choice,Teroristické operace,Teroristické operace,,Teroristické operace,--WORST-CASE
2023-10-24T08-41-00_2023WN297021.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-10-24T12-12-00_2023WN297062.txt,single_choice,Teroristické operace,Teroristické operace,,Teroristické operace,--WORST-CASE
2023-10-26T00-00-00_2023WN299091.txt,single_choice,Ekonomické důsledky,Ekonomické důsledky,,Ekonomické důsledky,--WORST-CASE
2023-10-26T00-00-00_2023WN299176.txt,single_choice,Vojenské operace Izraele,Dopad na izraelské civilisty,,Dopad na izraelské civilisty,--WORST-CASE
2023-10-26T00-00-00_2023WN299198.txt,single_choice,Teroristické operace,Teroristické operace,,Teroristické operace,--WORST-CASE
2023-10-27T00-00-00_2023WN300050.txt,single_choice,Teroristické operace,Teroristické operace,,Teroristické operace,--WORST-CASE
2023-10-30T00-00-00_2023WN303025.txt,single_choice,Vojenské operace Izraele,Vojenské operace Izraele,,Vojenské operace Izraele,--WORST-CASE
2023-10-30T00-00-00_2023WN303134.txt,single_choice,Dopad na izraelské civilisty,Dopad na izraelské civilisty,,Dopad na izraelské civilisty,--WORST-CASE
2023-10-30T11-19-00_2023WN303199.txt,single_choice,Vnitřní politické dění,Vnitřní politické dění,,Vnitřní politické dění,--WORST-CASE
2023-10-31T08-47-00_2023WN304015.txt,single_choice,Teroristické operace,Globální reakce veřejnosti,,Globální reakce veřejnosti,--WORST-CASE
2023-11-01T16-09-00_2023WN305157.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-11-01T20-08-00_2023WN305204.txt,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,,Globální reakce veřejnosti,--WORST-CASE
2023-11-02T08-14-00_2023WN306018.txt,single_choice,Dílčí konflikty a střety,Dopad na palestinské civilisty,,Dopad na palestinské civilisty,--WORST-CASE
2023-11-02T11-09-00_2023WN306067.txt,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,,Globální reakce veřejnosti,--WORST-CASE
2023-11-04T16-30-00_2023WN308069.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-11-05T08-41-00_2023WN309011.txt,single_choice,Historie/kontextualizace,Historie/kontextualizace,,Historie/kontextualizace,--WORST-CASE
2023-11-05T08-41-00_2023WN309016.txt,single_choice,Historie/kontextualizace,Historie/kontextualizace,,Historie/kontextualizace,--WORST-CASE
2023-11-05T10-57-00_2023WN309100.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-11-08T08-45-00_2023WN312032.txt,single_choice,Historie/kontextualizace,Mezinárodní politické reakce,,Historie/kontextualizace,--WORST-CASE
2023-11-08T11-17-00_2023WN312083.txt,single_choice,Historie/kontextualizace,Historie/kontextualizace,,Historie/kontextualizace,--WORST-CASE
2023-11-08T17-35-00_2023WN312200.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-11-09T09-11-00_2023WN313029.txt,single_choice,Historie/kontextualizace,Historie/kontextualizace,,Historie/kontextualizace,--WORST-CASE
2023-11-12T06-03-00_2023WN316008.txt,single_choice,Teroristické operace,Teroristické operace,,Teroristické operace,--WORST-CASE
2023-11-12T10-35-00_2023WN316132.txt,single_choice,Globální reakce veřejnosti,Dílčí konflikty a střety,,Dílčí konflikty a střety,--WORST-CASE
2023-11-13T08-16-00_2023WN317030.txt,single_choice,Vojenské operace Izraele,Dopad na palestinské civilisty,,Dopad na palestinské civilisty,--WORST-CASE
2023-11-13T11-01-00_2023WN317254.txt,single_choice,Mezinárodní politické reakce,Dopad na palestinské civilisty,,Dopad na palestinské civilisty,--WORST-CASE
2023-11-15T13-35-00_2023WN319151.txt,single_choice,Vnitřní politické dění,Dopad na izraelské civilisty,,Dopad na izraelské civilisty,--WORST-CASE
2023-11-15T16-48-00_2023WN319208.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-11-16T08-16-00_2023WN320030.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-11-16T15-21-00_2023WN320146.txt,single_choice,Historie/kontextualizace,Mezinárodní politické reakce,,Historie/kontextualizace,--WORST-CASE
2023-11-19T19-42-00_2023WN323084.txt,single_choice,Vojenské operace Izraele,Vojenské operace Izraele,,Vojenské operace Izraele,--WORST-CASE
2023-11-20T09-03-00_2023WN324033.txt,single_choice,Historie/kontextualizace,Globální reakce veřejnosti,,Globální reakce veřejnosti,--WORST-CASE
2023-11-20T15-21-00_2023WN324135.txt,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,,Globální reakce veřejnosti,--WORST-CASE
2023-11-20T20-25-00_2023WN324202.txt,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,,Globální reakce veřejnosti,--WORST-CASE
2023-11-23T11-44-00_2023WN327073.txt,single_choice,Vojenské operace Izraele,Vojenské operace Izraele,,Vojenské operace Izraele,--WORST-CASE
2023-11-23T16-26-00_2023WN327164.txt,single_choice,Humanitární pomoc,Vnitřní politické dění,,Humanitární pomoc,--WORST-CASE
2023-11-24T12-39-00_2023WN328101.txt,single_choice,,Ekonomické důsledky,,,--WORST-CASE
2023-11-24T21-16-00_2023WN328215.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-11-29T08-32-00_2023WN333030.txt,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,,Globální reakce veřejnosti,--WORST-CASE
2023-11-29T15-51-00_2023WN333171.txt,single_choice,Teroristické operace,Vnitřní politické dění,,Teroristické operace,--WORST-CASE
2023-11-30T06-54-00_2023WN334015.txt,single_choice,Historie/kontextualizace,Historie/kontextualizace,,Historie/kontextualizace,--WORST-CASE
2023-11-30T11-33-00_2023WN334072.txt,single_choice,Ekonomické důsledky,Globální reakce veřejnosti,,Ekonomické důsledky,--WORST-CASE
2023-12-04T12-14-00_2023WN338101.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-12-05T06-39-00_2023WN339011.txt,single_choice,Vojenské operace Izraele,Teroristické operace,,Teroristické operace,--WORST-CASE
2023-12-05T14-45-00_2023WN339132.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-12-06T09-06-00_2023WN340025.txt,single_choice,Vojenské operace Izraele,Vojenské operace Izraele,,Vojenské operace Izraele,--WORST-CASE
2023-12-09T11-05-00_2023WN343035.txt,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,,Globální reakce veřejnosti,--WORST-CASE
2023-12-09T19-24-00_2023WN343081.txt,single_choice,Teroristické operace,Teroristické operace,,Teroristické operace,--WORST-CASE
2023-12-10T08-59-00_2023WN344015.txt,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,,Globální reakce veřejnosti,--WORST-CASE
2023-12-14T08-16-00_2023WN348008.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-12-14T16-08-00_2023WN348142.txt,single_choice,Vnitřní politické dění,Vnitřní politické dění,,Vnitřní politické dění,--WORST-CASE
2023-12-15T12-15-00_2023WN349091.txt,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,,Globální reakce veřejnosti,--WORST-CASE
2023-12-20T16-52-00_2023WN354149.txt,single_choice,Mezinárodní politické reakce,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2023-12-21T09-21-00_2023WN355034.txt,single_choice,Historie/kontextualizace,Teroristické operace,,Historie/kontextualizace,--WORST-CASE
2023-12-21T21-05-00_2023WN355189.txt,single_choice,Globální reakce veřejnosti,Dílčí konflikty a střety,,Dílčí konflikty a střety,--WORST-CASE
2023-12-30T12-42-00_2023WN364030.txt,single_choice,Vojenské operace Izraele,Vojenské operace Izraele,,Vojenské operace Izraele,--WORST-CASE
2024-01-01T20-24-00_2024WN001075.txt,single_choice,Vnitřní politické dění,Vnitřní politické dění,,Vnitřní politické dění,--WORST-CASE
2024-01-02T16-55-00_2024WN002143.txt,single_choice,Vojenské operace Izraele,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2024-01-11T16-10-00_2024WN011155.txt,single_choice,Dopad na izraelské civilisty,Dopad na izraelské civilisty,,Dopad na izraelské civilisty,--WORST-CASE
2024-01-12T10-01-00_2024WN012058.txt,single_choice,Teroristické operace,Mezinárodní politické reakce,,Mezinárodní politické reakce,--WORST-CASE
2024-01-12T15-46-00_2024WN012144.txt,single_choice,Historie/kontextualizace,Globální reakce veřejnosti,,Globální reakce veřejnosti,--WORST-CASE
2024-01-18T10-32-00_2024WN018055.txt,single_choice,Dílčí konflikty a střety,Dopad na izraelské civilisty,,Dopad na izraelské civilisty,--WORST-CASE
2024-01-19T12-20-00_2024WN019033.txt,single_choice,Historie/kontextualizace,Mezinárodní politické reakce,,Historie/kontextualizace,--WORST-CASE
2024-01-20T10-17-00_2024WN020031.txt,single_choice,Vojenské operace Izraele,Vojenské operace Izraele,,Vojenské operace Izraele,--WORST-CASE
2024-01-28T19-21-00_2024WN028084.txt,single_choice,Dopad na izraelské civilisty,Humanitární pomoc,,Dopad na izraelské civilisty,--WORST-CASE
2024-01-29T12-00-00_2024WN029085.txt,single_choice,Ekonomické důsledky,Ekonomické důsledky,,Ekonomické důsledky,--WORST-CASE
2024-01-30T12-22-00_2024WN030086.txt,single_choice,Vojenské operace Izraele,Vojenské operace Izraele,,Vojenské operace Izraele,--WORST-CASE
2024-02-06T20-53-00_2024WN037171.txt,single_choice,Teroristické operace,Dopad na izraelské civilisty,,Dopad na izraelské civilisty,--WORST-CASE
2024-02-07T20-29-00_2024WN038197.txt,single_choice,Historie/kontextualizace,Mezinárodní politické reakce,,Historie/kontextualizace,--WORST-CASE
2024-02-08T12-53-00_2024WN039088.txt,single_choice,Ekonomické důsledky,Ekonomické důsledky,,Ekonomické důsledky,--WORST-CASE
2024-02-14T18-32-00_2024WN045167.txt,single_choice,Ekonomické důsledky,Ekonomické důsledky,,Ekonomické důsledky,--WORST-CASE
2024-02-15T13-18-00_2024WN046102.txt,single_choice,Historie/kontextualizace,Vnitřní politické dění,,Historie/kontextualizace,--WORST-CASE
2024-02-15T21-49-00_2024WN046201.txt,single_choice,Dílčí konflikty a střety,Teroristické operace,,Dílčí konflikty a střety,--WORST-CASE
2024-02-21T16-43-00_2024WN052158.txt,single_choice,Ekonomické důsledky,Ekonomické důsledky,,Ekonomické důsledky,--WORST-CASE
