file,rating,rater_0.csv,rater_1.csv,rater_2.csv,majority,worst_case
1.54._Topolánek_už_s_vulgarismy_narazil_i_u_manželky_Pavly.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.56._Češi_a_Němci_o_nacionalismu_a_strachu.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.57._Policisté_zatýkali_podle_manuálu.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.58._Buď_Čunek_nebo_my_navrhovala_část_zelených.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.59._Zákoník_práce_dopadl_i_na_hrady.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.6._Květinko_hýčkal_Zeman_Volfovou.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.60._Jak_StB_vydírala_Nohavicu.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.61._Hrady_musí_mít_dvojnásobek_průvodců.txt,single_choice,Ne,Ano,Ne,Ne,--WORST-CASE
1.62._Policejní_šéf_by_měl_být_ve_funkci_jen_několik_let.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.64._Křehká_květinka_má_stranu.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.69._Hvězda_dříve_patřila_rejdařům.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.70._Jak_na_radikály?_S_kapesní_brožurou.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.71._Zelení_chtějí_aby_Jiří_Čunek_odešel_z_vlády.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.72._O_nájem_olomouckých_nemocnic_bude_boj.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.73._Škodě_Auto_hrozí_stávky.txt,single_choice,Ano,Ne,Ano,Ano,--WORST-CASE
1.78._Ministerstvo_zemědělství_změnilo_vedení_fondu.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.79._Volfová_neuspěla_známé_tváře_nepřišly.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.81._Zahraniční_dluh_Česka_stoupl_na_122_bilionu_korun.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.83._Za_které_léky_se_neplatí_lze_zjistit_na_internetu.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.84._V_cizině_chtějí_český_systém_prodeje_letenek.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.88._Strany_stále_víc_závisejí_na_státní_pokladně.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.9._Dospělí_se_pořádně_zapotili.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.90._Národní_fotbalový_stadion?_Verdikt_se_odkládá.txt,single_choice,Ne,Ne,Ano,Ne,--WORST-CASE
1.91._Agrobanka_čelí_konkurzu_stát_má_problém.txt,single_choice,Ne,Ne,Ano,Ne,--WORST-CASE
1.92._Lidé_nevěří_nabídkám_levné_letecké_přepravy.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.93._Sociolog:_Čunek_vyvolává_rasové_démony.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.94._Češi_mění_hory_za_pobyt_u_moře.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.99._Česká_spořitelna_prodlužuje_provoz_na_pobočkách.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
