,Zpravodajské hodnoty (multiple),,,,,Témata článku,,,,,,,,,,Hlavní téma článku,Mediální rámce (multiple),,,,,,Mluvčí,,,,,,,,,,
2023-10-15T20-07-00_2023WN288080.txt,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,8,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1
2023-10-16T10-36-00_2023WN289052.txt,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,3,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
2023-10-18T13-55-00_2023WN291081.txt,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2023-10-18T18-43-00_2023WN291136.txt,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,7,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0
2023-10-19T10-57-00_2023WN292057.txt,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2023-10-19T15-13-00_2023WN292147.txt,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2023-10-22T07-25-00_2023WN295017.txt,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2023-10-22T07-25-00_2023WN295038.txt,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2023-10-23T09-18-00_2023WN296031.txt,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2023-10-23T12-37-00_2023WN296192.txt,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2023-10-24T08-41-00_2023WN297021.txt,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2023-10-24T12-12-00_2023WN297062.txt,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2023-10-26T00-00-00_2023WN299091.txt,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-10-26T00-00-00_2023WN299176.txt,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-10-26T00-00-00_2023WN299198.txt,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-10-27T00-00-00_2023WN300050.txt,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2023-10-30T00-00-00_2023WN303025.txt,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2023-10-30T00-00-00_2023WN303134.txt,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2023-10-30T11-19-00_2023WN303199.txt,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0
2023-11-01T16-09-00_2023WN305157.txt,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2023-11-02T08-14-00_2023WN306018.txt,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,7,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2023-11-02T11-09-00_2023WN306067.txt,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,9,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-11-04T16-30-00_2023WN308069.txt,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
2023-11-05T08-41-00_2023WN309011.txt,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,11,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-05T08-41-00_2023WN309016.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-05T10-57-00_2023WN309100.txt,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
2023-11-08T08-45-00_2023WN312032.txt,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-11-08T11-17-00_2023WN312083.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2023-11-08T17-35-00_2023WN312200.txt,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,2,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0
2023-11-12T10-35-00_2023WN316132.txt,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,9,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2023-11-13T08-16-00_2023WN317030.txt,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,7,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
2023-11-13T11-01-00_2023WN317254.txt,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,7,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
2023-11-15T13-35-00_2023WN319151.txt,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-11-15T16-48-00_2023WN319208.txt,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,2,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0
2023-11-16T08-16-00_2023WN320030.txt,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,2,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2023-11-16T15-21-00_2023WN320146.txt,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2023-11-19T19-42-00_2023WN323084.txt,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,3,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
2023-11-20T20-25-00_2023WN324202.txt,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-23T11-44-00_2023WN327073.txt,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
2023-11-23T16-26-00_2023WN327164.txt,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2023-11-24T21-16-00_2023WN328215.txt,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,2,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
2023-11-29T08-32-00_2023WN333030.txt,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2023-11-29T15-51-00_2023WN333171.txt,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2023-11-30T06-54-00_2023WN334015.txt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2023-11-30T11-33-00_2023WN334072.txt,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2023-12-04T12-14-00_2023WN338101.txt,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2023-12-05T06-39-00_2023WN339011.txt,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
2023-12-05T14-45-00_2023WN339132.txt,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-12-06T09-06-00_2023WN340025.txt,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
2023-12-09T11-05-00_2023WN343035.txt,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
2023-12-09T19-24-00_2023WN343081.txt,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2023-12-14T08-16-00_2023WN348008.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2023-12-14T16-08-00_2023WN348142.txt,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2023-12-15T12-15-00_2023WN349091.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2023-12-20T16-52-00_2023WN354149.txt,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2023-12-30T12-42-00_2023WN364030.txt,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
2024-01-01T20-24-00_2024WN001075.txt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
2024-01-02T16-55-00_2024WN002143.txt,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
2024-01-11T16-10-00_2024WN011155.txt,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,6,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0
2024-01-12T10-01-00_2024WN012058.txt,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
2024-01-12T15-46-00_2024WN012144.txt,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-18T10-32-00_2024WN018055.txt,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,6,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0
2024-01-19T12-20-00_2024WN019033.txt,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2024-01-20T10-17-00_2024WN020031.txt,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2024-01-28T19-21-00_2024WN028084.txt,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0
2024-01-30T12-22-00_2024WN030086.txt,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2024-02-06T20-53-00_2024WN037171.txt,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,6,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2024-02-08T12-53-00_2024WN039088.txt,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-02-15T21-49-00_2024WN046201.txt,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
