,,,7,Humanitární pomoc,"Zpráva popisuje snahy o poskytování nebo blokování humanitární pomoci, věnuje se možnostem podpory civilistům zasažených konfliktem, které vznikly z iniciativ vlád, nevládních organizací a mezinárodních organizací.",Rafáh se znovu otevřel. Do Pásma Gazy proudí další pomoc,,,,
,,,8,Globální reakce veřejnosti,Zpráva informuje o demonstracích na podporu Izraele nebo Palestiny ve světě.,Lidé zapalují svíčky u izraelského velvyslanectví v Praze,,,,
,,,9,Ekonomické důsledky,"Zpráva informuje o globálních ekonomických důsledcích konfliktu (vliv na ceny ropy, zpožďování a zdražování přepravy zboží kvůli situaci v Suezském průplavu, komplikace pro turismus atd.)",,,,,
,,,10,Jiné,,,,,,
,,,,,,,,,,
,Mediální rámce (multiple),,,"While the categories of topics focus on the content areas being covered (such as political negotiations, military operations, humanitarian crises, etc.), the media frames shape how that content is presented and interpreted by the audience.",,,,,,
,,,1 = ano,Rámec konfliktu,"Zpráva situaci zobrazuje jako napjatou, konfliktní, nespravedlivou, polarizovanou. Dané rozpory jsou implicitně nebo explicitně zobrazeny jako těžko řešitelné, resp. řešitelné především silou. Zpráva implicitně nebo explicitně rozvrhuje aktéry do ingroup a outgroup, kde zisk jedné ze stran znamená ztrátu pro druhou a naopak.",Válka v Izraeli: Speciální vysílání studia Novinek,,,,
,,,0 = ne,Rámec budování míru,"Zpráva výrazňuje snahy o řešení konfliktu prostřednictvím diplomacie, jednání a iniciativ budování míru. Tento rámec zdůrazňuje konstruktivní kroky směrem k míru a povzbuzuje optimismus ohledně možných řešení. Palestince a Izraelce nestaví proti sobě jako inherentně nepřátelské strany, ale apeluje na lidskost obou.",Izrael a Hamás se dohodly na prodloužení příměří,Nenávist je možné porazit. Spolek Arabů a Židů vyzývá k zastavení nekonečné spirály násilí,,,
,,,,Humanitární rámec,"Zpráva se soustředí na důsledky konfliktu pro běžný občanský život, zdůrazňuje civilní oběti, vysídlování a utrpení lidí na obou stranách. Tento rámec pomáhá vyvolat empatii a zdůrazňuje naléhavou potřebu humanitární pomoci.",Příměří zajistí podstatné navýšení humanitární pomoci do Pásma Gazy,,,,
,,,,Historicko-kulturní rámec,"Zpráva zobrazuje situaci jako součást komplikovaného dlouhotvrajícího konfliktu, zdůrazňuje potřebnost znalosti historického kontextu, geopolitických faktorů či perspektiv zúčastněných aktérů pro pochopení současného stavu. Tento rámec pomáhá divákům rozvinout hlubší porozumění základních příčin a dynamiky konfliktu.",Temné měsíce po Mnichovu. Vyhánění Čechoslováků i útěky židovského obyvatelstva,,,,
,,,,Geopolitický rámec,"Zpráva zdůrazňuje globální geopolitický rozměr konfliktu, jehož důležitost přesahuje bezprostředně zasažené aktéry (blízký Východ). Zohledňuje mezinárodní reakce na konflikt, a to jak politické (diplomatická prohlášení, protesty a výzev k akci ze strany globálního společenství), tak občanské (demonstrace na podporu Izraele nebo Palestiny, diskuze na akademické půdě). Tento rámec ilustruje vzájemné propojení konfliktu s širšími geopolitickými dynamikami a veřejným míněním po celém světě.","Nejen Izrael. Vzplanout může celý Blízký východ, obává se EU",,,,
,,,,Lokální rámec,"Zpráva zobrazuje události jako zasahující bezprostředně zúčastněné (blízký Východ); responses from individuals, communities, and organizations within Israel and Palestine",Policista zastřelil dva izraelské turisty v Egyptě. Zemřel i jeden Egypťan,,,,
3,Mluvčí,,,,,,,,,
,typ mluvčích (multiple),,1 = ano,Političtí představitelé Izraele,"Vládní a opoziční politici, diplomaté Izraele a v Izraeli, kteří jsou přímo zapojeni do rozhodování a jednání souvisejících s konfliktem nebo je komentují.",,,,,
,,,0 = ne,Političtí představitelé Palestiny,"Političtí představitelé Palestinské samosprávy nebo jiných palestinských vládních orgánů, včetně zvolených úředníků a vůdců.",,,,,
,,,,Politici z blízkovýchodních zemí:,"Politici z jiných arabských nebo blízkovýchodních zemí, kteří mají zájem nebo účast v konfliktu, jako jsou ti z okolních arabských států nebo regionálních mocností.",,,,,
,,,,Politici ze západních zemí,"Politici ze západních zemí, včetně Spojených států, členských států Evropské unie a dalších západních zemí, kteří se mohou zapojovat do diplomatických úsilí nebo mít zájmy v konfliktu.",,,,,
,,,,Mezinárodní organizace,"Zástupci mezinárodních organizací zapojených do mírových operací, humanitární pomoci nebo diplomacie související s konfliktem, jako jsou Spojené národy, Evropská unie nebo Arabská liga.",,,,,
,,,,Vojenští představitelé Izraele,"Vojenští vůdci, velitelé nebo mluvčí z Izraelských obranných sil (IDF) nebo jiných izraelských bezpečnostních agentur zapojených do vojenských operací.",,,,,
,,,,Představitelé teroristických skupin,"Zástupci nebo vůdci militantních nebo teroristických skupin působících v regionu, jako jsou Hamas, Islámská džihád nebo Hizballáh.",,,,,
,,,,Experti a analytici,"Odborníci, akademici, analytici nebo komentátoři specializující se na blízkovýchodní záležitosti, řešení konfliktu, mezinárodní vztahy nebo související oblasti, poskytující porozumění a analýzu konfliktu.",,,,,
,,,,Média a novináři,"V textu jsou citovány informace převzaté z jiných médií (např. ""podle New York Times...), k nimž není přiřazen žádný jiný mluvčí (může jít o investigativu média, informace poskytnuté anonymně atd.)",,,,,
,,,,Zástupci občanské společnosti,"Zástupci občanských sdružení, nevládních organizací, lidskoprávních skupin, náboženských institucí nebo skupin prosazujících mír, humanitární úsilí nebo aktivismus související s konfliktem.",,,,,
,,,,Očití svědci a civilisté.,"Očití svědkové, přeživší, civilisté nebo obyvatelé přímo postižení konfliktem, poskytující svědectví, rozhovory nebo pohledy na události na místě.",,,,,
,,,,Členové izraelské nebo palestinské diaspory v zahraničí a sympatizanti,"Členové izraelské nebo palestinské diaspory žijící v zahraničí, stejně jako sympatizanti nebo aktivisté mimo region, kteří podporují nebo odsuzují určité postoje v souvislosti s konfliktem.",,,,,
