file,prompt_key,rating,codebook - Katka.csv,codebook - Martina.csv,codebook - Michal.csv,codebook - Vojta.csv,model,majority,maj_agreement_with_model,worst_case
2023-10-10T09-37-00_2023WN283037.txt,Hlavní téma článku,single_choice,Jiné,Jiné,Jiné,Jiné,Ekonomické důsledky,Jiné,False,--WORST-CASE--
2023-10-10T09-37-00_2023WN283037.txt,Mediální rámce,Geopolitický rámec,True,True,True,False,True,True,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mediální rámce,Historicko-kulturní rámec,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mediální rámce,Humanitární rámec,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mediální rámce,Lokální rámec,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mediální rámce,Rámec budování míru,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mediální rámce,Rámec konfliktu,True,False,False,False,True,False,False,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Experti a analytici,True,True,True,True,True,True,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Jiní,True,True,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Mezinárodní organizace,False,False,False,True,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Média a novináři,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Očití svědci a civilisté,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Politici z blízkovýchodních zemí,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Politici ze západních zemí,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Političtí představitelé Izraele,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Političtí představitelé Palestiny,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Představitelé teroristických skupin,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Vojenští představitelé Izraele,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Zástupci občanské společnosti,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Mluvčí,Členové izraelské nebo palestinské diaspory v zahraničí a sympatizanti,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Zpravodajské hodnoty,Blízkost proximity,True,False,True,True,False,True,False,False
2023-10-10T09-37-00_2023WN283037.txt,Zpravodajské hodnoty,Dopad impact,False,True,True,True,True,True,True,False
2023-10-10T09-37-00_2023WN283037.txt,Zpravodajské hodnoty,Elitní osoby prominence,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Zpravodajské hodnoty,Negativita negativity,False,False,False,False,False,False,True,False
2023-10-10T09-37-00_2023WN283037.txt,Zpravodajské hodnoty,Personalizace personalization,False,False,False,False,False,False,True,False
